left,right,match
dGcfdNdGrlRlBDGNSllfB,MspgzmTgtQQgztMtzpmcT,c
lBNdqRsBRdfPNr,LPFVVPVJPZZvhj,P
TLWgggJzwjgWgjg,GnnmQnzQfNNNQsm,z
SpPbBlPBMlvFZpbbB,mQGsmCJmCstsdNGBQ,B
MhSHhZPrPbvSFrJPpPMSbM,cLjjqTLHDRTDDTTLDLTqgH,H
fprRRbbznFb,cQVPDdQPdFV,F
LTvmsLmcsHm,vDvSZDZVVSS,v
jWtmLccssJTLjHmLWWJw,nwlBfwnBbllpCBnffbBr,w
plPBWzbnFLPP,tGqMMwlMGwmS,l
ZQjDHjrQjdjVF,wdMvCSfmwMqdt,d
DDhhrRDjQghHJjh,WBbgbTccbsTzpWF,g
vgCbbwsTbWWWgwBW,DGGDqtPGtMgGlFMH,g
znrznJNhLSLphRRR,DlFPMmpFPjjHtMFF,p
llNcSQVSNcR,bvCwwWcTdwZ,c
qpnJbnRRnJhRFhF,HRgQSzHlSRHCCCg,R
fMBttBvsBjffvsQTtfGT,WlCWsSgSmHCzZmLlHgzZ,s
ffMdjrfdwjfw,wnhJPFchhqwQ,w
NCVSTCVCQCCRVDQSJ,sqFPsPNspFhhsgjPh,N
btvtWtcWn,pgmFhjmmt,t
cfnffBfcWcrMdbvM,QJDDrDTDVCpCDrGD,r
fZNhBWFSlFQFjWQ,TTldHgCwvTvqqdr,l
zznVzCzn,mHvnwgdH,n
PMMbCGPMDPcLbJ,hFhWhBhRScQZBQ,c
WQMrDWGHbSWHMNrTQR,hghmgPZccmqDLwPqPg,D
svCzfpdzzdsnslCsn,PZcHZPlJcqZgmqPPc,l
nntVpdpVsfjCHzvnsCz,RTBrtWGbNNQSMbTNSRr,t
SnpDQdBqGpDSBMfQGcMQBD,JPNstvJcWNsPJCtJtNRWPC,c
VrVHrhTHlPHT,vvNtbhNRNswC,h
TzlFHHmrVlgTlT,GSzGqpdMGBPQBS,z
zrCDnrDVCnCgnrHgGDnVVC,ZsNttQZmjtsmbMqGqsjbqj,G
TlRRWPSwwFwbSwTTT,pNQQqNjqZZlmMMQQt,l
wvbwbRTLWdFFwvRBTbvTTR,zrnznnJrDDCzBczBfHCJnz,B
SvTdmLNNNdvTBmvmLvSv,DpgczzjfgjggpcjcNPzD,N
VJHQsJVlH,pjjpzsjzP,s
VRlJbJQrVbVHJJPMh,BdnBRCSLZZZnvnLvv,R
tMGcpGtMtLtsCGspL,zNCBBmwCzQRzBBRWQ,C
hdlHFllDdZgDbDDlDH,TWWTnzBBBvzmNHzwRz,H
FSddDlFRqDFqFSdPVqdh,cfGMsVtVfLjrfGfjtMcs,V
RGMWnBMWfCCMBHT,DptJJgZStRPmSRD,R
bqzFqjqcFLN,LZZSmpSBgZZ,L
rFrQNbNBlNcbrQlNQvvcl,MswTCTCnwrwHrWGsGCswn,r
WLhJQddCQwRNCQN,HczHNzMvZcZvcNc,N
SlSpSlrpDqnbqDjlGjGGljTj,MZZPPMMfVPgfHMMVgVvqfgcw,q
SbGsDspbbnjTjBl,dCFmLwFCJLBmtJB,B
TMDjMvMqMvD,TzcmFCgrJCr,T
ZZZJSZWVBHZWSSZQJhVhWnHJ,wczGGwGcCCFzwgmzcwFgwVzc,V
pLHNQSnN,JsMLRJds,L
TsLZGwdsD,FWHBZJFfZ,Z
mqhRvqrzJRbmzJ,BFfgHHgWgHrrlH,r
JvvNhJmvt,DdsNTwdLV,N
wwnSVSmwtbstznwgbzzVM,TNpTNWdlCSlSWTffWNCSN,S
cFvccLGFGvvGH,ZflnNTpnZpZcB,c
GPqGDhGGqrDh,VRgbnbttPmgs,P
rzSZJScLrcBL,vjvsqMPZvjQl,Z
nnpDqgDqFTgwq,HHvMHvvvTvPMM,T
GnqCGpDqqVh,ccLmrmSmCRL,C
tJSTmdfddDTDJCPm,bQvQLHvqqqbrbvlP,P
zWGsjcwwGGcVVjcGWc,NjvNjQqrQtNFFQHHrF,j
RZnRVsswRsGWcwVBZVtBR,dDJgCffTgmgfnnCpfTfTM,n
FnCrzhTrNPrMcnhMTnZZZN,PwDPdbDmdDtwjdtjbmQwDt,P
sBvWrpppvLBsLRVBfH,SfbbQmbwSjStDSwSwS,f
LVRRRJqqlH,NlNTChrhMG,l
WNsfsstMvtMvNNG,PZwmZmqZPLWZcww,W
rDCdDRCDFQ,jSVLcmZcDq,D
bBBHqTgBbQlQRCQFbgqd,hvshGvTJMnfTtnnThnsN,T
VwWBTNQcVz,Dtrgfrtzzt,z
LLbpShLGvlbCmLjpGSCSCpv,FdrgdddcHtrtGgfqHcDHqrd,G
pmvLmlpmjbLbpljJ,PBBcTBBQRZBBVJRZ,J
cVTcVTNvvghNhvggPPgt,CVSpSQmzCqZDRCmDZDZS,V
dGJMWFsFMFWsnl,zRlQzlzqpzlZzD,l
HdLFssFMsJbnbF,jqbhPgjNggcrhg,b
LLVhQCTvRvmWlCpp,QfQQjPrwszNsfzNz,Q
BZSgncHgnJStJHJgntM,WzGsrPqGwsfPfGPwwwZ,Z
bdBdJMBcS,hWCLbhWVC,b
vjdpGNGwSNCTwwR,bfnWgQMLjQWMnLQ,j
DcmFPFtHmlc,gpqWDnMbDLf,D
FZJPtcprHtPPHplZHPZcl,wwGBSZSvSwCwvZzNdwvvw,Z
CdJLJCJPWPWcbtzJtqJz,FrQvBhfjBBvjjvdjpFjr,d
sBRgsZGDNSBBRGDw,phrrrThpHpgHvhpQ,g
DwDsGBDNwGmMNlMlMDS,PmztJVCbVCCWqPqJLmW,m
LSTMgDSRSMHbMDWLHSvDS,cwtCGqGrjGrcLftqVGtVC,L
hzJPmlph,CGrCwVrJ,J
zhPNdNnQZBZBhZnNZ,SgMWMDbMHwWSDWNDH,N
rcdvvcwvr,HrMZBjHSZ,r
sDtWblgnltsDFlgFqlt,CCVQTMTgSHVTfSQfSHj,g
tDtRWFpFbWWWWNNDWsNqW,vmzvhzhzGmzjjGvLwJmpc,p
nFSSnnbhSfgLSSnVjdjfHMgf,MzGzmqlNGGmTPlqqTzTNNzlT,M
pBZsJJvcc,bBmlWGlNb,B
cvsssvZwsDwrD,dfFgnbDfVbgng,D
mWRNWNCTdwdCwhCddbWWmh,sZVgJQJBVBfsBsJQLQBLJb,b
qFFlGzFtjjcqzHtFtl,RfVfsZfQHVfBHQRHgf,H
jqGjtcDnGnPzFRlz,rnMdWrrCMMddNNWT,n
MHWCjjGMcH,hbhPDLphHQ,H
nRVJrtgssd,LgCppvLQbg,g
RlVVZNVRJlsstldsBCNl,czfjjSZmWTcmGmTSfmSm,Z
RTHqgTgMwgnGTRzqTHCG,fdFdfhmBrJrdvbFJMhPB,M
lNZNNNLttLW,JBPBdZBFmdZ,Z
SppscpLVStclNPWt,CczqnQQwHTTgCGwq,c
hSHRCbZRSZhbRZ,BctnMVjwwtWtwh,h
GrdFzQrDdJ,stjcWttwsF,F
drPJLDPGPvDvzrJPQLdD,HpZlwLgRmwCHLpwgSbff,L
zMSSnCtCdSdCtdfMdHMdt,VBDjhWDHBqbTVVBqhbDjr,H
cPNhFFNRlN,DlTBqjlTBG,l
RvmvRpPNRgwgPvFw,hmdCssmCzdMshMmL,m
tttjgrpTwmCgCwgwrrlrH,zbzqqFNzdJqqZnddJwNbh,w
cQjMjPMBfcLBSjGQB,ndFnzNdNnhzzNGFbF,G
sSQPLMfVPBVSfBMvVLSPf,HCttDjCDRRtrVVglgpttD,V
vdTvdpBvcTPdSS,vCLrCCDLDCQGDl,v
sRfnFgmFRMVsnqgRmqz,mrrDBDwtHlLHtrLCDGL,m
qRMVjJgRFnJfMssMsg,ZScPJpZbPbPPWhBZSp,J
ZJgNJhGZglMZZ,FDTPSNqFSqTSb,N
mwdvwpsjrcjBvpwFrv,bHcDqbWHRWDSPWDHSR,c
CsvpsLLj,FzhlLGFZ,L
sDNQrMrNfrlQ,jJRgGjbTllHG,l
ZRhSnWFVSwBtFRBVvV,gHgbzjgGTJnngmGmHC,n
vWZLShhvZLVtSFSLqwV,rQdqpcqMDddRNQMdsNP,q
hQhSQbbwtHzShwhSQPb,JRsLwRCjJmDCcvmqCcs,w
FNdBTBTNM,sRqqCjTjL,T
GNdrdMBVF,ShhSLSGGL,G
cZzcCmjjcvdzd,WqgWTZgPZgZhh,Z
wSwVGSJF,TffgJTNh,J
FSVpVlBMS,hzbjzcpvp,p
qqlblClRbnTvqTmRqlmnT,wrdfdwFFNrngfddDBrNtr,n
PcLcQLMVLGMzHLMchhLcjL,FrrNrBfrfFNJtNgJDDBNzt,z
sSjjGcGQscSVSMjHVMSVPSQ,sWmCmppZCmtCWbbWTlZTqTl,s
qWlVJmDJHWJHVJlsdVT,dhbFNNgFhwhhhFhwwZg,d
npjnvQpStCQLvBpPnvtBtBp,GSGbzbGDggGNbgwghzZNGGN,S
jBvLtvjnrtM,DmmDRTTrsWc,r
pmwdwzJtFmmlpFsWwtstJ,PGgvNgCCLWCvPgNNPQCQv,W
RfbfTRBnR,GQvPNnncc,n
ZTbPZSDSBfSBVSbbBRbbb,trFdtlFmVsswtFwzdpszw,V
hVphQcmdcWWprWWhChFQ,BsfHjDTTBCHlSsTSBgSH,C
vqBRqqzbqMZPMw,STDjJjlHDllgHZ,Z
PMnMLqtMnn,tQhWBccthB,t
vqqvCSvHSSwqvqCddnvQ,FmNbVjbJVVmGNNVHNNlH,H
pggrhzWgptWhZ,smVlFmgNNVNbj,g
RzpMLLhhphtzrRr,SSbQTBQwSTDBwQM,M
DSFQDlDFRddDHQHQtFlDVsV,MTzrMCLSWZLZffSzLWrfCJz,S
jjBBvpgmbppBPbMwBBBNbb,ZWZzzCCTzzZgzWcJccLzWz,g
bvPwNwmpnBNhPmqpPvnwwNm,tRQGQMdQDQlsGVVGhRlGFsl,h
SfJJwDJgpGdSGJNSTwTVJD,RbWWfLtCWCLtRLHWrtbWBf,f
cQQPnFhjjQlczhqllhszhqsQ,RWnrbrHdHtbWrBWBbtvvHBrW,n
qMqqqqzFFmPjmmsFjmzsmhjc,DGSZTJgTdpZwZgwSZVpMTNVG,M
czrcHMcMJ,tCCPnpFmH,H
DwGGlvLljGmDRdwLdLjfh,tFsssnFVpfttpptsnFPnp,f
TlRTghTjwTDRTDl,ZZQgWMMrMJMSZmM,g
BzdNzNdgNNPfgdNsdQdN,vVMLLVQVMcCRCMRmvCGc,Q
zHpplwwZrZlqlWWrpZwqlHh,LvqMCRDCGVmLcqGMVvCMmMD,q
rWrjwWwHplZbwpZtHtJJ,bgfFTfsNnBbsfbSdTzgB,b
jPRRppDLDGDTLLggMMjpLTGc,rJWHsttJfwnWrMvrJnvnrNfJ,M
blqbzBdzmhhbQ,WnsNHtJvfssfd,d
lhFhzSzzSZVNSl,VPgDPCPCGTRcGR,V
cqWcNWffPftvsvfpqPtZs,BzrbmbFddBmbcLbdDHbHz,c
TJgljTnGgn,LBTZbHdBFz,T
JgSnJwSlgGJRwM,tfPtvfwsZQZZtv,w
hHhPbQPTwsdwd,HqtgttjpNfjDt,H
FFlCmSzRCCmlzzRGCF,NvRpvjvtZNZqsRfNRg,R
mVmsFMGFzJF,BwQTMnMQndd,M
QQVpQGcVdGms,pHHLtbqfqfbt,p
JvZTFDFzJzhFCWCZZDzWPBCJ,fLbnnwLqttnsHHNPwtbHLwjn,P
DssTMWvvv,GMcQGQGld,M
sshRHZSZRbSZHh,BFBMpMWpFgbbtb,b
JfjTjmwwTPvfTNPTQ,lmFFFqqmFMBBqFgFt,m
vDTvJffQTJjJvPvTN,SHRzhCsShRRRDtZHz,D
NFLsRDNNDNBD,lgPPgBglQlzj,B
HJhdZpfJ,zlWQjjHw,H
ffJTppZZq,TNlGnNsMG,T
ZMrWcWwqqvPZM,ndGdqlnnDLnVT,q
HpCsshCfpFfHHJ,DDSlSVQQGGflDQ,f
zssNzRJFhjNHNNHpJR,wbwMMzWWtZPcbBbwbG,z
HlNHHLHsBDRpHLlsHRl,JnMhfWZMRnvCCCnWhZj,R
wtqSmQqttzSSQdPmmw,ZhChJjWJjPggCZCfZJ,P
SSwtTbTQmbtdqmGTTcfqz,DLHFsBLDGLNGrsBHFGrLB,G
FFDvWznMWWMrPnPnWPgsmg,QbhJRslHbwHwVVsVHjBsHb,s
ZtSffffpdLqpSCLfCNqfLqLC,jHjHbwhpBwJllHlRVQllphjj,p
ZcNCtcGSctZScqfNGScLNcc,zPJFmzmDzGzWnrWFPFWDvrM,G
DnTPspmTPsTCDQW,RZzZzZRCRfCfHfh,C
BNcqTBcFg,bVchVJhVR,c
dTwdrBrwTS,PPWnnmSmsn,S
pfbbDbHpNBFmQbpNNB,SlLtlDStSdSPJLtLJR,D
ZcszvwgVCZswFzV,TRTlTlRLgRJSWJR,g
jzZvVwFjcjjnwvzwZcjM,pqMpbGQbQmhhHhmfHQmh,M
hTbddhQCtdNmdtwtdhTBbCdd,RSWscczwcRSWLJzcFJzDsFsR,w
NflgfPZP,cgSLJcWD,g
lPVNZMMMpZlZZvfrMvp,bQHQhtbtqdTQHthrqhd,r
JlWSStwhWJSRJpJvJ,BjTwTqcwTsDjsCTCB,w
dqFzgFZGGQNV,mTcCrjrzsBrB,z
fdgLFQLnPdnq,ShRMPhlJMpWW,P
TMPcsPDjdDhsDcDcTTTDvdv,ghBNFGGtmNrSrgSSBGNtNFg,h
CVCbJqlRVVWWpRqRQZRWVWJZ,BtmSFGNmggGmtmmBFbrGMGMt,b
JRqHVJVCRLZW,TjMnfLTPcfLd,L
TRTZFTTrghrZVhVWdWZ,pMmbzbdzBmtDpDDzmzB,d
wcsSSsjfPfGPqQwqsQcf,JJCtJGpppCBJzCbzJzCb,G
sPjflcwljfjfvqNc,TZTRhtVWrNrVLnrR,N
rVLLsmwmCWTmsCTdwQrdTmqW,DjDHjNGNPbjDBPNDNsZRDBjH,s
cFcSvgJvfhfLnShtMJt,PHRRvRbBBGBPNBHPbND,v
hgLcgcLpJSM,wzmrmzqQrmp,p
