left,right
rcdvvcwvr,HrMZBjHSZ
sDtWblgnltsDFlgFqlt,CCVQTMTgSHVTfSQfSHj
tDtRWFpFbWWWWNNDWsNqW,vmzvhzhzGmzjjGvLwJmpc
nFSSnnbhSfgLSSnVjdjfHMgf,MzGzmqlNGGmTPlqqTzTNNzlT
pBZsJJvcc,bBmlWGlNb
cvsssvZwsDwrD,dfFgnbDfVbgng
mWRNWNCTdwdCwhCddbWWmh,sZVgJQJBVBfsBsJQLQBLJb
qFFlGzFtjjcqzHtFtl,RfVfsZfQHVfBHQRHgf
jqGjtcDnGnPzFRlz,rnMdWrrCMMddNNWT
MHWCjjGMcH,hbhPDLphHQ
nRVJrtgssd,LgCppvLQbg
RlVVZNVRJlsstldsBCNl,czfjjSZmWTcmGmTSfmSm
RTHqgTgMwgnGTRzqTHCG,fdFdfhmBrJrdvbFJMhPB
lNZNNNLttLW,JBPBdZBFmdZ
SppscpLVStclNPWt,CczqnQQwHTTgCGwq
hSHRCbZRSZhbRZ,BctnMVjwwtWtwh
GrdFzQrDdJ,stjcWttwsF
drPJLDPGPvDvzrJPQLdD,HpZlwLgRmwCHLpwgSbff
zMSSnCtCdSdCtdfMdHMdt,VBDjhWDHBqbTVVBqhbDjr
cPNhFFNRlN,DlTBqjlTBG
RvmvRpPNRgwgPvFw,hmdCssmCzdMshMmL
tttjgrpTwmCgCwgwrrlrH,zbzqqFNzdJqqZnddJwNbh
cQjMjPMBfcLBSjGQB,ndFnzNdNnhzzNGFbF
sSQPLMfVPBVSfBMvVLSPf,HCttDjCDRRtrVVglgpttD
vdTvdpBvcTPdSS,vCLrCCDLDCQGDl
sRfnFgmFRMVsnqgRmqz,mrrDBDwtHlLHtrLCDGL
qRMVjJgRFnJfMssMsg,ZScPJpZbPbPPWhBZSp
ZJgNJhGZglMZZ,FDTPSNqFSqTSb
mwdvwpsjrcjBvpwFrv,bHcDqbWHRWDSPWDHSR
CsvpsLLj,FzhlLGFZ
sDNQrMrNfrlQ,jJRgGjbTllHG
ZRhSnWFVSwBtFRBVvV,gHgbzjgGTJnngmGmHC
vWZLShhvZLVtSFSLqwV,rQdqpcqMDddRNQMdsNP
hQhSQbbwtHzShwhSQPb,JRsLwRCjJmDCcvmqCcs
FNdBTBTNM,sRqqCjTjL
GNdrdMBVF,ShhSLSGGL
cZzcCmjjcvdzd,WqgWTZgPZgZhh
wSwVGSJF,TffgJTNh
FSVpVlBMS,hzbjzcpvp
qqlblClRbnTvqTmRqlmnT,wrdfdwFFNrngfddDBrNtr
PcLcQLMVLGMzHLMchhLcjL,FrrNrBfrfFNJtNgJDDBNzt
sSjjGcGQscSVSMjHVMSVPSQ,sWmCmppZCmtCWbbWTlZTqTl
qWlVJmDJHWJHVJlsdVT,dhbFNNgFhwhhhFhwwZg
npjnvQpStCQLvBpPnvtBtBp,GSGbzbGDggGNbgwghzZNGGN
jBvLtvjnrtM,DmmDRTTrsWc
pmwdwzJtFmmlpFsWwtstJ,PGgvNgCCLWCvPgNNPQCQv
RfbfTRBnR,GQvPNnncc
ZTbPZSDSBfSBVSbbBRbbb,trFdtlFmVsswtFwzdpszw
hVphQcmdcWWprWWhChFQ,BsfHjDTTBCHlSsTSBgSH
vqBRqqzbqMZPMw,STDjJjlHDllgHZ
PMnMLqtMnn,tQhWBccthB
vqqvCSvHSSwqvqCddnvQ,FmNbVjbJVVmGNNVHNNlH
pggrhzWgptWhZ,smVlFmgNNVNbj
RzpMLLhhphtzrRr,SSbQTBQwSTDBwQM
DSFQDlDFRddDHQHQtFlDVsV,MTzrMCLSWZLZffSzLWrfCJz
jjBBvpgmbppBPbMwBBBNbb,ZWZzzCCTzzZgzWcJccLzWz
bvPwNwmpnBNhPmqpPvnwwNm,tRQGQMdQDQlsGVVGhRlGFsl
SfJJwDJgpGdSGJNSTwTVJD,RbWWfLtCWCLtRLHWrtbWBf
cQQPnFhjjQlczhqllhszhqsQ,RWnrbrHdHtbWrBWBbtvvHBrW
qMqqqqzFFmPjmmsFjmzsmhjc,DGSZTJgTdpZwZgwSZVpMTNVG
czrcHMcMJ,tCCPnpFmH
DwGGlvLljGmDRdwLdLjfh,tFsssnFVpfttpptsnFPnp
TlRTghTjwTDRTDl,ZZQgWMMrMJMSZmM
BzdNzNdgNNPfgdNsdQdN,vVMLLVQVMcCRCMRmvCGc
zHpplwwZrZlqlWWrpZwqlHh,LvqMCRDCGVmLcqGMVvCMmMD
rWrjwWwHplZbwpZtHtJJ,bgfFTfsNnBbsfbSdTzgB
jPRRppDLDGDTLLggMMjpLTGc,rJWHsttJfwnWrMvrJnvnrNfJ
blqbzBdzmhhbQ,WnsNHtJvfssfd
lhFhzSzzSZVNSl,VPgDPCPCGTRcGR
cqWcNWffPftvsvfpqPtZs,BzrbmbFddBmbcLbdDHbHz
TJgljTnGgn,LBTZbHdBFz
JgSnJwSlgGJRwM,tfPtvfwsZQZZtv
hHhPbQPTwsdwd,HqtgttjpNfjDt
FFlCmSzRCCmlzzRGCF,NvRpvjvtZNZqsRfNRg
mVmsFMGFzJF,BwQTMnMQndd
QQVpQGcVdGms,pHHLtbqfqfbt
JvZTFDFzJzhFCWCZZDzWPBCJ,fLbnnwLqttnsHHNPwtbHLwjn
DssTMWvvv,GMcQGQGld
sshRHZSZRbSZHh,BFBMpMWpFgbbtb
JfjTjmwwTPvfTNPTQ,lmFFFqqmFMBBqFgFt
vDTvJffQTJjJvPvTN,SHRzhCsShRRRDtZHz
NFLsRDNNDNBD,lgPPgBglQlzj
HJhdZpfJ,zlWQjjHw
ffJTppZZq,TNlGnNsMG
ZMrWcWwqqvPZM,ndGdqlnnDLnVT
HpCsshCfpFfHHJ,DDSlSVQQGGflDQ
zssNzRJFhjNHNNHpJR,wbwMMzWWtZPcbBbwbG
HlNHHLHsBDRpHLlsHRl,JnMhfWZMRnvCCCnWhZj
wtqSmQqttzSSQdPmmw,ZhChJjWJjPggCZCfZJ
SSwtTbTQmbtdqmGTTcfqz,DLHFsBLDGLNGrsBHFGrLB
FFDvWznMWWMrPnPnWPgsmg,QbhJRslHbwHwVVsVHjBsHb
ZtSffffpdLqpSCLfCNqfLqLC,jHjHbwhpBwJllHlRVQllphjj
ZcNCtcGSctZScqfNGScLNcc,zPJFmzmDzGzWnrWFPFWDvrM
DnTPspmTPsTCDQW,RZzZzZRCRfCfHfh
BNcqTBcFg,bVchVJhVR
dTwdrBrwTS,PPWnnmSmsn
pfbbDbHpNBFmQbpNNB,SlLtlDStSdSPJLtLJR
ZcszvwgVCZswFzV,TRTlTlRLgRJSWJR
jzZvVwFjcjjnwvzwZcjM,pqMpbGQbQmhhHhmfHQmh
hTbddhQCtdNmdtwtdhTBbCdd,RSWscczwcRSWLJzcFJzDsFsR
NflgfPZP,cgSLJcWD
lPVNZMMMpZlZZvfrMvp,bQHQhtbtqdTQHthrqhd
JlWSStwhWJSRJpJvJ,BjTwTqcwTsDjsCTCB
dqFzgFZGGQNV,mTcCrjrzsBrB
fdgLFQLnPdnq,ShRMPhlJMpWW
TMPcsPDjdDhsDcDcTTTDvdv,ghBNFGGtmNrSrgSSBGNtNFg
CVCbJqlRVVWWpRqRQZRWVWJZ,BtmSFGNmggGmtmmBFbrGMGMt
JRqHVJVCRLZW,TjMnfLTPcfLd
TRTZFTTrghrZVhVWdWZ,pMmbzbdzBmtDpDDzmzB
wcsSSsjfPfGPqQwqsQcf,JJCtJGpppCBJzCbzJzCb
sPjflcwljfjfvqNc,TZTRhtVWrNrVLnrR
rVLLsmwmCWTmsCTdwQrdTmqW,DjDHjNGNPbjDBPNDNsZRDBjH
cFcSvgJvfhfLnShtMJt,PHRRvRbBBGBPNBHPbND
hgLcgcLpJSM,wzmrmzqQrmp
